lat,lng,星级,餐厅名称
30.23289075,119.7170653,70,可莎蜜儿(城中店)
30.30396065,120.153287,100,妙醍醐素食自助餐馆(香积寺店)
30.24739647,120.1755765,100,高银巷美食街
29.8037457,119.705707,70,桐庐乡之味
29.610543,119.041555,70,鱼宴馆·农家菜(千岛湖总店)
30.24560165,120.1775884,84,御乐堂·戏茶食驿
30.22356606,120.1298848,84,格物餐厅
30.25943184,120.1344277,90,山外山·林语花园餐厅
30.26052,120.170042,60,外婆家(湖滨银泰in77店)
30.24279976,120.1825038,88,慧娟面馆·餐厅(望江路店)
30.25594236,120.1875006,80,新丰小吃(解放店)
30.30329514,120.161263,80,老头儿油爆虾(古水店)
30.2231366,120.1424212,90,隐上花园餐厅(虎跑路店)
30.26576839,120.1582127,80,酒旗风(西湖断桥店)
30.27608897,120.176999,100,外婆家(杭州杭报店)
30.24107439,120.4437516,88,萧山机场咖啡厅
30.17759323,120.2742848,100,新白鹿餐厅(萧山银隆店)
30.27526649,120.1703794,100,绿茶餐厅(百大店)
30.21378845,120.1514573,60,杭州味道
30.27650833,120.1473536,100,金橘餐厅(杭大店)
30.30205954,120.1642395,90,德泓面馆
30.48718718,120.196481,70,塘栖水乡酒楼
30.31348678,120.0905206,70,清真餐厅
30.259473,120.173086,100,湖月·割烹料理(湖滨店)
30.24963691,120.1722704,100,哥老官重庆美蛙鱼头(西湖银泰十一哥店)
30.24554882,120.2190872,100,泛海钓鱼台酒店·芳菲苑
30.353631,119.43596,100,西天目山龙凤竹农家乐
30.24549652,120.1974761,70,大唐沈家门海鲜(近江店)
30.22305192,120.1291921,80,山舍PillowBooks
30.27926014,120.1232296,60,凡老头米线砂锅
29.619469,119.051425,80,满意野生鱼馆
30.25454543,120.2187974,80,WIN HOUSE(来福士中心店)
30.25071261,120.2224766,100,川味观·毛肚火锅(来福士中心店)
29.60949701,119.0841161,80,滨江希尔顿度假酒店泛亚餐厅
30.26080866,120.1371365,100,老船长酒吧
30.28309822,120.1695019,94,新白鹿餐厅(西湖文化广场店)
30.25248528,120.1731359,86,灶丰年间（定安路店）
30.26857624,120.1580251,70,忠儿面馆(保俶路店)
30.23231697,120.1238769,84,龙井草堂
30.23242767,120.1035543,90,江南驿(上天竺店)
30.26639366,120.2105475,90,绿茶餐厅(庆春银泰店)
30.24145126,120.1039566,82,兰轩村庄食坊(安缦法云店)
30.28207117,120.1123513,60,顺旺基(竞舟路店)
30.28251293,120.1745917,80,和家院私房菜
30.26197739,120.1695315,40,西湖鱼
30.31823286,120.0983794,90,陇上秦轩biangbiang面(三墩温州村店)
30.17664194,120.1040742,70,叫花鸡
30.25995379,120.1711759,80,工联美食广场
30.23181575,120.1446141,80,皇觅楼
30.324761,120.149215,100,盒马鲜生(运河店)
30.279738,120.176443,100,杭州酒家
30.28342585,120.2123377,60,Oneday__.(创意设计中心店)
30.24198225,120.1628254,80,临湖素食
30.24535728,120.1706606,60,河坊美食街
30.24144817,120.1110324,60,她城有他
30.27368089,120.2194851,100,咬不得高祖生煎
30.27291905,120.149582,78,宴西湖
30.246537,120.177631,60,咬不得高祖生煎（解放路）
30.249719,120.171398,40,绿茶餐厅西湖银泰店
29.62195,119.048095,80,几荷
30.3071688,120.1125312,100,德天肥牛海鲜火锅
30.21255192,120.0941918,100,香芙茗茶楼
30.25644371,120.1718755,100,咬不得高祖生煎(解放店)
30.25948,120.170042,100,大兴糕团(湖滨银泰店)
30.26147234,120.1698724,100,古铺良食(学士路店)
30.24067481,120.163226,84,胡庆余堂药膳
30.24920082,120.1659012,82,西湖春天(南山店)
30.25667891,120.1778921,70,新开元大酒店
30.26059768,120.1681654,100,杭州君悦酒店·君府
30.2572033,120.2218853,80,鼎泰丰(富春路店)
30.22685049,120.1229942,70,依山依市美景餐厅
30.23482195,120.1999588,90,外婆家(杭州望江店)
30.2899659,120.1960043,80,杭州海底捞餐饮有限公司(天城路店)
30.29708707,120.1962878,80,楼外楼(三里亭店)
30.24559453,120.1972767,100,龙翔海鲜(近江路店)
30.27848738,120.0759992,60,西溪船菜馆
30.25819258,120.2212889,70,唐宫海鲜舫(富春路店)
29.59700012,119.1644974,80,青庐
30.27541508,120.1366412,60,渔山岛石浦海鲜
30.30620277,120.1750744,70,小店王绍兴菜馆
30.24786989,120.2201844,100,杭州洲际酒店日月轩中餐厅
30.25268583,120.1769865,70,西北人家清真风味馆(中山中路店)
30.37680959,120.0260329,80,良渚文化村食街
30.2682991,120.1656036,100,九井精致料理(凤起店)
30.25344276,120.167397,100,陆记饭庄
30.2816189,120.112172,60,情侣小火锅
30.29878531,120.1688615,70,胖哥美食
30.22805398,119.7124709,70,甜品时间
30.29961967,120.2123478,70,杭州小吃
30.26839423,120.1763961,100,御牛道日式料理炭火烤肉(二圣庙店)
30.286132,120.030097,80,盒马鲜生(淘宝城店)
30.337732,120.086178,100,傲椒餐厅
30.24898135,120.1773837,20,恒庐时尚杭帮菜
30.24665015,120.1647386,100,小黄楼英式下午茶(南山路店)
30.26569694,120.1682689,100,城中啤酒吧MidtownBrewery（杭州城中香格里拉大酒店）
30.24833698,120.1655437,80,BERNINI
30.22633285,120.1194984,100,甘庐(龙井店)
30.25684777,120.1715748,100,南洋炉•新加坡煮炒(吴山路店)
30.25088636,120.1687592,100,索菲特西湖大酒店
30.26244618,120.1717797,100,梅地亚自助餐
30.273615,120.167338,100,老头油爆虾（武林店）
30.24236167,120.1120299,90,樵食庭院餐厅
30.31195028,120.1306057,90,桐庐人家
29.5967601,119.0144989,100,千岛湖客运码头
30.27091799,120.1669658,90,弄堂里(武林皇后店)
30.22998619,120.2038211,80,尊蓝钱江豪华精选酒店澜亭中餐厅
30.26483542,120.1658587,90,鹤川日本料理(望湖店)
30.25329791,120.1674062,70,杭州名菜馆
30.3226575,120.3429947,70,古兰轩清真特色餐厅
30.15641664,120.0860666,100,萤火虫烧烤自助餐厅
30.27141229,120.0969169,100,柴田西点(西溪天堂栖悦城店店)
30.24933597,120.1724548,100,阿香米线(杭州西湖银泰城店)
30.27989155,120.1664836,100,库塔（新加坡餐厅杭州大厦店）
29.93940175,119.4478565,70,益红酒家分水店
30.22239494,120.1445395,86,马灯部落·西湖边的创意山景餐厅(四眼井店)
30.27891996,120.1739909,100,新白鹿餐厅(游泳馆店)
30.23896654,120.4432514,90,肯德基
30.23317922,120.1008672,70,灵隐斋堂
30.2583844,120.1772922,80,吴山烤禽店(光复店)
30.24704959,120.111038,80,翠薇园
30.250433,120.1144707,80,灵隐禅和源
30.31272518,120.1434363,60,YUNSHUI谣(云水谣)
30.31319454,120.1454435,90,汉舍小雅汉舍小馆
30.21085739,120.0944882,86,欣怡茶庄
30.25042915,120.1151587,80,小丫头餐厅
30.27546227,120.1706805,90,杭州大酒店旋转餐厅
30.2473793,120.1775826,100,暖空概念明信片咖啡馆
30.31854364,120.1484513,100,旅马餐厅(丝联店)
30.26726399,120.1252266,60,茶田吾舍
30.17782845,120.2751014,100,老头儿油爆虾(萧山银隆店)
30.26754345,120.133032,60,玲珑小吃(浙大玉泉店)
30.37608147,120.0294991,80,良渚君澜度假酒店·中餐厅
30.24620847,120.1745739,40,西月楼
30.26873089,120.1661618,70,锅内锅外(西湖店)
29.61024133,119.0511956,70,肯德基(淳安千岛湖店)
30.31579971,120.1343994,70,莫卡乡村(登云路店)
30.26089767,120.2049656,70,楼外楼(采荷店)
30.27939987,120.1673965,100,王品牛排(杭州武林店)
30.15666664,120.0827792,80,葡属豆捞
30.15983945,120.2391351,80,湘湖渔村
30.18601509,120.1556962,70,杭州福朋喜来登酒店品轩中餐厅
30.25753116,120.134528,70,杭州西子湖四季酒店WL Bistro西湖餐厅
30.26709175,120.1685734,90,杭三姐妹(横长寿路店)
29.62895234,119.044996,100,外婆湾鱼味馆(阳光店)
30.22470338,120.1314549,80,漫村陶餐厅
30.30379094,120.1624298,70,开化府胜利河小龙虾(胜利河美食街店)
29.90700255,119.9575927,80,孙权家菜馆
30.35523536,120.1975962,70,农家菜馆
30.27267844,120.1468753,100,云天阁自助餐厅
30.28027725,120.1635491,100,杭州JW万豪酒店万豪中餐厅
30.27033539,120.1342351,70,浙大玉泉五食堂
30.28067732,120.1634509,90,杭州JW万豪酒店·亚洲风尚自助餐厅
30.05406202,119.929869,70,富春山居湖廊居
30.24118952,120.1762733,90,游埠豆浆
30.26237834,120.1694716,100,疯辣火锅(湖滨店)
30.26142789,120.3199835,70,水博园风味餐厅
